i,j,idinspire,ind_2015,men_2015,men_pauv_2015,men_1ind_2015,men_5ind_2015,men_prop_2015,men_fmp_2015,ind_snv_2015,men_surf_2015,men_coll_2015,men_mais_2015,log_av45_2015,log_45_70_2015,log_70_90_2015,log_ap90_2015,log_inc_2015,log_soc_2015,ind_0_3_2015,ind_4_5_2015,ind_6_10_2015,ind_11_17_2015,ind_18_24_2015,ind_25_39_2015,ind_40_54_2015,ind_55_64_2015,ind_65_79_2015,ind_80p_2015,ind_inc_2015,ind_2017,men_2017,men_pauv_2017,men_1ind_2017,men_5ind_2017,men_prop_2017,men_fmp_2017,ind_snv_2017,men_surf_2017,men_coll_2017,men_mais_2017,log_av45_2017,log_45_70_2017,log_70_90_2017,log_ap90_2017,log_inc_2017,log_soc_2017,ind_0_3_2017,ind_4_5_2017,ind_6_10_2017,ind_11_17_2017,ind_18_24_2017,ind_25_39_2017,ind_40_54_2017,ind_55_64_2017,ind_65_79_2017,ind_80p_2017,ind_inc_2017
14306,17359,CRS3035RES200mN2861200E3471800,5,1.8,0.2,0.3,0.4,1.6,0.1,119137.6,159.6,0,1.8,0.9,0,0.8,0.1,0,0,0.3,0,0.8,0.5,0,0.6,1.1,0.8,0.7,0.2,0,5,1.8,0.1,0.3,0.4,1.6,0.1,122002.5,156.7,0,1.8,0.9,0,0.8,0.1,0,0,0.2,0.2,0.4,0.9,0,0.5,1.2,0.6,0.6,0.4,0
14413,16725,CRS3035RES200mN2882600E3345000,1,0.4,0.1,0.1,0,0.4,0.1,18769.8,50.9,0,0.4,0.2,0,0.1,0.1,0,0,0.1,0,0,0.1,0,0.2,0.2,0.1,0.2,0.1,0,1,0.5,0.1,0.1,0,0.4,0.1,19570.9,51.2,0,0.5,0.2,0,0.2,0.1,0,0,0,0.1,0,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0
14519,20046,CRS3035RES200mN2903800E4009200,31,11,0,0,1,10,3,720047.8,1494,0,11,7,0,2,2,0,0,0,3.5,3,4.5,0,7,6,4,1,2,0,38,14,3,2,1,12,3,763117.1,2001,0,14,9,0,3,2,0,0,3,1,4.5,4.5,3,8,8,2,2,2,0
14534,18346,CRS3035RES200mN2906800E3669200,8,2.8,0.1,0.4,0.2,2.1,0,224779.2,321.6,0,2.8,0.8,0,1,1,0,0,0,0.3,0.4,0.7,0.5,1.2,2.2,1.2,1,0,0.5,3,1.2,0.1,0.3,0,0.9,0,90241.2,134.7,0,1.2,0.3,0,0.4,0.5,0,0,0.1,0,0.1,0.2,0.3,0.5,0.8,0.3,0.6,0.1,0
14662,18087,CRS3035RES200mN2932400E3617400,11,4.4,0.4,1.2,0.3,4.3,0,234325.2,483,0,4.4,1.4,0.1,1,1.9,0,0,0.1,0.1,1,1.6,0.4,1.5,3.2,1.1,1.7,0.3,0,8,3.1,0.3,0.8,0.1,2.9,0.1,183768.6,339.3,0,3.1,1.1,0,0.5,1.5,0,0,0.5,0.1,0.6,1.1,0.4,1.6,2.1,0.5,0.8,0.3,0
14747,17734,CRS3035RES200mN2949400E3546800,15,5.6,0.7,0.9,0.4,4.7,0.5,317529.4,709.5,0,5.6,2.2,1.3,0.9,1.2,0,0,0.3,0.5,0.9,2,1.1,1.6,4.1,1.7,1.5,1,0.3,15,5.9,0.5,1.2,0.4,5.1,0.3,326578.9,744.7,0,5.9,2.2,1.4,0.9,1.4,0,0,0.4,0.5,1,1.2,1.3,2.5,3.8,1.6,1.8,0.9,0
14854,17419,CRS3035RES200mN2970800E3483800,3,1.3,0.1,0.3,0.1,1.1,0.1,62616.1,149,0,1.3,0.6,0.2,0.2,0.3,0,0,0,0,0.3,0.2,0.1,0.5,0.5,0.5,0.6,0.2,0.1,3,1.3,0.1,0.3,0.1,1.1,0.1,68495.3,151.7,0,1.3,0.6,0.1,0.3,0.3,0,0,0.1,0,0.1,0.2,0.2,0.5,0.5,0.6,0.6,0.2,0
14923,19277,CRS3035RES200mN2984600E3855400,27,10.7,2.5,1.9,0,9.4,2.5,520572.5,1245.8,0,10.7,10.1,0,0,0.6,0,0,0,0,1.9,3.8,1.2,2.5,5.6,4.4,4.4,1.9,1.3,22,8.7,2.9,1.2,0.6,7.5,1.2,383339,1036.9,0,8.7,8.1,0,0,0.6,0,0,0,0,1.7,2.3,1.8,2.9,4.6,4.6,3.5,0.6,0
11311,19585,CRS3035RES200mN2262200E3917000,4,1.9,0.3,0.7,0.1,1.7,0,97751,141.1,0.1,1.8,0.4,1.1,0,0.4,0,0,0,0,0.1,0.2,0.1,0.3,0.8,0.9,1,0.3,0.3,2,1.1,0.1,0.6,0,0.9,0.1,45233.1,78.2,0.1,1,0.2,0.6,0,0.3,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.5,0.5,0.1,0
11433,20362,CRS3035RES200mN2286600E4072400,22,7.3,0.5,1.5,1.5,5.4,0,630058.6,679.6,1,6.3,1.5,0,2.4,3.4,0,0,0,0,0,1,1.9,1.5,5.9,5.9,2.9,0.5,2.4,24,9.5,1.7,1.7,1.1,7.3,0.6,683953,902.5,2.8,6.7,1.1,0,2.2,6.2,0,0,0.5,0,0,0.6,4.5,2.8,3.9,7.2,3.9,0.6,0
